"percentage_crawls_tracked","owner","owner_country","owner_lineage"
"2.78","SiteScout","US","SiteScout > Centro"
"2.78","Sizmek","US","Sizmek > Amazon"
"2.78","Sovrn","US","Sovrn > Federated Media"
"2.78","StickyADS.tv","US","StickyADS.tv > Comcast"
"2.78","Videology Group","US","Videology Group > Amobee > Singtel"
"2.78","Walmart","US","Walmart"
"2.78","Weborama","FR","Weborama"
"2.08","Inmobi","IN","Inmobi"
"1.39","AdScale","DE","AdScale > Check Point"
"1.39","Amazon Web Services","US","Amazon Web Services > Amazon"
"1.39","AWIN","DE","AWIN > Axel Springer"
"1.39","Axel Springer","DE","Axel Springer"
"1.39","Blogger","US","Blogger > Google > Alphabet"
"1.39","Check Point","US","Check Point"
"1.39","Disqus","US","Disqus > Zeta Global"
"1.39","Eyeota","SG","Eyeota"
"1.39","Google Video","US","Google Video > Google > Alphabet"
"1.39","HiStats","IT","HiStats > Wisecode"
"1.39","INFOnline","DE","INFOnline"
"1.39","Mail.Ru Group","RU","Mail.Ru Group > MegaFon"
"1.39","MegaFon","RU","MegaFon"
"1.39","Moat","US","Moat > Oracle Data Cloud > Oracle"
"1.39","plista","DE","plista > GroupM > WPP"
"1.39","Spot X Change","US","Spot X Change"
"1.39","Statcounter","IE","Statcounter"
"1.39","Unruly","UK","Unruly > Tremor Video > Taptica > Marimedia"
"1.39","Vkontakte","RU","Vkontakte > Mail.Ru Group > MegaFon"
"1.39","Wikimedia Foundation","US","Wikimedia Foundation"
"1.39","Wisecode","IT","Wisecode"
"1.39","Zeta Global","US","Zeta Global"
"0.69","Amp Project","US","Amp Project > Google > Alphabet"
"0.69","Aol","US","Aol > Verizon Media > Verizon"
"0.69","Appier","TW","Appier"
"0.69","Bing","US","Bing > Microsoft"
"0.69","Brightcove","US","Brightcove"
"0.69","Chartbeat","US","Chartbeat"
"0.69","comScore","US","comScore"
"0.69","CreateJS","CA","CreateJS"
"0.69","Cxense","NO","Cxense"
"0.69","DataXu","US","DataXu"
"0.69","DeepIntent","US","DeepIntent > Propel Media"
"0.69","Demandbase","US","Demandbase"
"0.69","Deutsche Telekom","DE","Deutsche Telekom"
"0.69","Dynadmic","FR","Dynadmic"
"0.69","EDFACT","RU","EDFACT > MediaScope"
"0.69","emetriq","DE","emetriq > Deutsche Telekom"
"0.69","Engine Media Exchange","US","Engine Media Exchange"
"0.69","etracker","DE","etracker"
"0.69","Fonts.com","US","Fonts.com > Monotype Imaging"
"0.69","GetIntent","US","GetIntent"
"0.69","Gumgum","US","Gumgum"
"0.69","Hotjar","MT","Hotjar"
"0.69","IAB Europe","BE","IAB Europe"
"0.69","IAC","US","IAC"
"0.69","Imgix","US","Imgix"
"0.69","Instagram","US","Instagram > Facebook"
"0.69","Integral Ad Science","US","Integral Ad Science"
"0.69","Linkpulse","NO","Linkpulse > plista > GroupM > WPP"
"0.69","LiveIntent","US","LiveIntent"
"0.69","Longtail Ad Solutions","US","Longtail Ad Solutions"
"0.69","MediaScope","RU","MediaScope"
"0.69","Monotype Imaging","US","Monotype Imaging"
"0.69","New Relic","US","New Relic"
"0.69","ONE by Aol","US","ONE by Aol > Aol > Verizon Media > Verizon"
"0.69","Propel Media","US","Propel Media"
"0.69","ScorecardResearch","US","ScorecardResearch > comScore"
"0.69","Sonobi","US","Sonobi"
"0.69","SpringServe","US","SpringServe"
"0.69","Ströer","DE","Ströer"
"0.69","TripleLift","US","TripleLift"
"0.69","Trusted Shops","DE","Trusted Shops"
"0.69","Vimeo","US","Vimeo > IAC"
"0.69","Webtrekk","DE","Webtrekk"
"0.69","xplosion Interactive","DE","xplosion Interactive > emetriq > Deutsche Telekom"
"0.69","Yadro","RU","Yadro"
"0.69","Yieldlab","DE","Yieldlab"
