"percent_total","domain","owner","owner_country","owner_lineage"
"1.39","googlevideo.com","Google Video","US","Google Video > Google > Alphabet"
"1.39","histats.com","HiStats","IT","HiStats > Wisecode"
"1.39","idealmedia.io","","",""
"1.39","ioam.de","INFOnline","DE","INFOnline"
"1.39","jungefreiheit.de","","",""
"1.39","lbry.com","","",""
"1.39","media-amazon.com","Amazon","US","Amazon"
"1.39","mgid.com","","",""
"1.39","mlcdn.com","","",""
"1.39","moatads.com","Moat","US","Moat > Oracle Data Cloud > Oracle"
"1.39","nachdenkseiten.de","","",""
"1.39","net-news-express.de","","",""
"1.39","nrich.ai","","",""
"1.39","odysee.com","","",""
"1.39","odysee.tv","","",""
"1.39","opencmp.net","","",""
"1.39","plyr.io","","",""
"1.39","quantcast.com","Quantcast","US","Quantcast"
"1.39","redintelligence.net","","",""
"1.39","revolvermaps.com","","",""
"1.39","rmbl.ws","","",""
"1.39","rtbsystem.org","","",""
"1.39","rumble.com","","",""
"1.39","spotim.market","","",""
"1.39","spotimmedia.com","","",""
"1.39","spotxchange.com","Spot X Change","US","Spot X Change"
"1.39","ssl-images-amazon.com","Amazon","US","Amazon"
"1.39","statcounter.com","Statcounter","IE","Statcounter"
"1.39","stripe.com","","",""
"1.39","stripe.network","","",""
"1.39","telegram.org","","",""
"1.39","unrulymedia.com","Unruly","UK","Unruly > Tremor Video > Taptica > Marimedia"
"1.39","vk.com","Vkontakte","RU","Vkontakte > Mail.Ru Group > MegaFon"
"1.39","webpushr.com","","",""
"1.39","wikimedia.org","Wikimedia Foundation","US","Wikimedia Foundation"
"1.39","wordpress.com","Wordpress","US","Wordpress > Automattic"
"1.39","yastatic.net","","",""
"0.69","2kita.com","","",""
"0.69","3lift.com","TripleLift","US","TripleLift"
"0.69","abendzeitung-muenchen.de","","",""
"0.69","ad-score.com","","",""
"0.69","ad.gt","","",""
"0.69","adcropper.com","","",""
"0.69","adhigh.net","GetIntent","US","GetIntent"
"0.69","adnz.co","","",""
"0.69","adotmob.com","","",""
"0.69","adsafeprotected.com","Integral Ad Science","US","Integral Ad Science"
"0.69","adsafety.net","","",""
"0.69","adspect.de","","",""
"0.69","advangelists.com","","",""
"0.69","advertising.com","ONE by Aol","US","ONE by Aol > Aol > Verizon Media > Verizon"
"0.69","aidata.io","","",""
"0.69","amazon.de","","",""
"0.69","ampproject.org","Amp Project","US","Amp Project > Google > Alphabet"
"0.69","andbeyond.media","","",""
"0.69","aniview.com","","",""
"0.69","anonymousnews.ru","","",""
"0.69","anti-spiegel.ru","","",""
"0.69","apolut.net","","",""
"0.69","app-us1.com","","",""
"0.69","appier.net","Appier","TW","Appier"
"0.69","argumentua.com","","",""
"0.69","avct.cloud","","",""
"0.69","ayads.co","","",""
"0.69","b-cdn.net","","",""
"0.69","bannerflow.net","","",""
"0.69","belta.by","","",""
"0.69","beratungsflat.de","","",""
"0.69","betweendigital.com","","",""
"0.69","bic-media.com","","",""
"0.69","bild.de","","",""
"0.69","bing.com","Bing","US","Bing > Microsoft"
"0.69","bitchute.com","","",""
"0.69","blogblog.com","Blogger","US","Blogger > Google > Alphabet"
"0.69","blogcounter.de","","",""
"0.69","bloggeramt.de","","",""
"0.69","bloggerei.de","","",""
"0.69","blogheim.at","","",""
"0.69","bnmla.com","","",""
"0.69","bod.com","","",""
"0.69","bod.de","","",""
"0.69","boerse-go.de","","",""
"0.69","bookcdn.com","","",""
"0.69","booked.net","","",""
"0.69","brainlyads.com","","",""
"0.69","brightcove.com","Brightcove","US","Brightcove"
"0.69","bumlam.com","","",""
"0.69","bz-berlin.de","","",""
"0.69","cdninstagram.com","Instagram","US","Instagram > Facebook"
"0.69","chartbeat.com","Chartbeat","US","Chartbeat"
"0.69","chartbeat.net","Chartbeat","US","Chartbeat"
"0.69","classicalmusicnews.ru","","",""
"0.69","cloudimg.io","","",""
"0.69","company-target.com","Demandbase","US","Demandbase"
"0.69","consensu.org","IAB Europe","BE","IAB Europe"
"0.69","cookiebot.eu","","",""
"0.69","createjs.com","CreateJS","CA","CreateJS"
"0.69","cryptobrowser.site","","",""
"0.69","cryptobrowser.store","","",""
"0.69","cxense.com","Cxense","NO","Cxense"
"0.69","dan-news.info","","",""
"0.69","deepintent.com","DeepIntent","US","DeepIntent > Propel Media"
"0.69","deepseatools.de","","",""
"0.69","deltawelt.ch","","",""
"0.69","digitaleast.mobi","","",""
"0.69","dixinews.ru","","",""
"0.69","dnr-news.ru","","",""
"0.69","donbass-name.ru","","",""
"0.69","donorbox.org","","",""
"0.69","dropboxusercontent.com","","",""
"0.69","dw.com","","",""
"0.69","dyntrk.com","Dynadmic","FR","Dynadmic"
"0.69","ecomm.events","","",""
"0.69","ecwid.com","","",""
"0.69","emailsys1a.net","","",""
"0.69","emxdgt.com","Engine Media Exchange","US","Engine Media Exchange"
"0.69","etracker.com","etracker","DE","etracker"
"0.69","etracker.de","etracker","DE","etracker"
"0.69","flagcounter.com","","",""
"0.69","fonts.net","Fonts.com","US","Fonts.com > Monotype Imaging"
"0.69","foremedia.net","","",""
"0.69","foto-planeta.com","","",""
"0.69","fraudscore.ai","","",""
"0.69","free21.org","","",""
"0.69","freeprivacypolicy.com","","",""
"0.69","gab.com","","",""
"0.69","gegenstimme.tv","","",""
"0.69","geoplugin.net","","",""
"0.69","getmdl.io","","",""
"0.69","getreplybox.com","","",""
"0.69","github.io","","",""
"0.69","goldbroker.com","","",""
"0.69","goldsilbershop.de","","",""
"0.69","goldswitzerland.com","","",""
"0.69","googlecode.com","","",""
"0.69","grimmhold.de","","",""
"0.69","guidants.com","","",""
"0.69","gumgum.com","Gumgum","US","Gumgum"
"0.69","gvs-bullion.com","","",""
"0.69","hadronid.net","","",""
"0.69","happy-school.de","","",""
"0.69","headroom.at","","",""
"0.69","heidelberg.de","","",""
"0.69","hotjar.com","Hotjar","MT","Hotjar"
"0.69","ibillboard.com","","",""
"0.69","igotoworld.com","","",""
"0.69","imgix.net","Imgix","US","Imgix"
"0.69","imgur.com","","",""
"0.69","in-berlin.de","","",""
"0.69","indexww.com","Index Exchange","CA","Index Exchange"
"0.69","ipredictive.com","","",""
"0.69","iqzone.com","","",""
"0.69","iraqbodycount.org","","",""
"0.69","issuu.com","","",""
"0.69","isu.pub","","",""
"0.69","ix.de","","",""
"0.69","iz.ru","","",""
"0.69","jf-buchdienst.de","","",""
"0.69","jwplayer.com","Longtail Ad Solutions","US","Longtail Ad Solutions"
"0.69","kachelmannwetter.com","","",""
"0.69","kargo.com","","",""
"0.69","kenfm.de","","",""
"0.69","klagemauer.tv","","",""
"0.69","laptops-fair.de","","",""
"0.69","latina-press.com","","",""
"0.69","liadm.com","LiveIntent","US","LiveIntent"
"0.69","loginbereich.net","","",""
"0.69","lp4.io","Linkpulse","NO","Linkpulse > plista > GroupM > WPP"
"0.69","lug-info.com","","",""
"0.69","luxadv.com","","",""
"0.69","m6r.eu","Ströer","DE","Ströer"
"0.69","mail.ru","Mail.Ru Group","RU","Mail.Ru Group > MegaFon"
"0.69","mariupol-news.ru","","",""
"0.69","mateti.net","Webtrekk","DE","Webtrekk"
"0.69","matomo.cloud","","",""
"0.69","michael-vogt.tv","","",""
"0.69","minds.com","","",""
"0.69","mininfodnr.ru","","",""
"0.69","minutemedia-prebid.com","","",""
"0.69","mmnews.de","","",""
"0.69","mycdn.me","","",""
"0.69","nativendo.de","","",""
"0.69","newrelic.com","New Relic","US","New Relic"
"0.69","news-front.info","","",""
"0.69","novorosinform.org","","",""
"0.69","nr-data.net","New Relic","US","New Relic"
"0.69","nuoviso.tv","","",""
"0.69","opera.com","","",""
"0.69","otm-r.com","","",""
"0.69","ots.at","","",""
"0.69","otto.de","","",""
"0.69","pantercon.net","","",""
"0.69","parastorage.com","","",""
"0.69","partner-versicherung.de","","",""
"0.69","peertube.fr","","",""
"0.69","perspective-daily.com","","",""
"0.69","philosophia-perennis.com","","",""
"0.69","pingdom.net","","",""
"0.69","plista.com","plista","DE","plista > GroupM > WPP"
"0.69","politaia.org","","",""
"0.69","politikstube.com","","",""
"0.69","polldaddy.com","","",""
"0.69","polyfill.io","","",""
"0.69","powerad.ai","","",""
"0.69","priazovstep.ru","","",""
"0.69","project-r.construction","","",""
"0.69","qpress.de","","",""
"0.69","quer-denken.tv","","",""
"0.69","radio-utopie.de","","",""
"0.69","recaptcha.net","","",""
"0.69","repub.ch","","",""
"0.69","responsivevoice.org","","",""
"0.69","resultboiji.com","","",""
"0.69","ria.ru","","",""
"0.69","russiatoday.com","","",""
"0.69","scoota.co","","",""
"0.69","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore"
"0.69","sendinblue.com","","",""
"0.69","sendpulse.com","","",""
"0.69","servenobid.com","","",""
"0.69","serverbid.com","","",""
"0.69","shr.su","","",""
"0.69","sibautomation.com","","",""
"0.69","signalize.com","","",""
"0.69","smadex.com","","",""
"0.69","smartstream.tv","","",""
"0.69","smrtb.com","","",""
"0.69","sndcdn.com","","",""
"0.69","socdm.com","","",""
"0.69","sonobi.com","Sonobi","US","Sonobi"
"0.69","soundcloud.com","","",""
"0.69","splicky.com","","",""
"0.69","springserve.com","SpringServe","US","SpringServe"
"0.69","steadycdn.com","","",""
"0.69","steadyhq.com","","",""
"0.69","t.me","","",""
"0.69","taptapnetworks.com","","",""
"0.69","technoratimedia.com","","",""
"0.69","telepolis.de","","",""
"0.69","tg.dev","","",""
"0.69","tns-counter.ru","EDFACT","RU","EDFACT > MediaScope"
"0.69","toast.com","","",""
"0.69","topblogs.de","","",""
"0.69","topnewsinfo.de","","",""
"0.69","tradingview-widget.com","","",""
"0.69","tradingview.com","","",""
"0.69","trafficroots.com","","",""
"0.69","truepush.com","","",""
"0.69","trustedshops.com","Trusted Shops","DE","Trusted Shops"
"0.69","trustpilot.com","","",""
"0.69","tsecurity.de","","",""
"0.69","twittercounter.com","","",""
"0.69","ubembed.com","","",""
"0.69","uncut-news.ch","","",""
"0.69","unrulyvideo.com","","",""
"0.69","unzensuriert.at","","",""
"0.69","upscore.com","","",""
"0.69","userapi.com","","",""
"0.69","usercentrics.eu","","",""
"0.69","userreport.com","","",""
"0.69","vcounter.de","","",""
"0.69","verfassunggebende-versammlung.com","","",""
"0.69","vgwort.de","","",""
"0.69","videobyte.com","","",""
"0.69","vimeo.com","Vimeo","US","Vimeo > IAC"
"0.69","vimeocdn.com","Vimeo","US","Vimeo > IAC"
"0.69","visitor-analytics.io","","",""
"0.69","vvaktuell.com","","",""
"0.69","w55c.net","DataXu","US","DataXu"
"0.69","wakenews.tv","","",""
"0.69","wallstreet-online.de","","",""
"0.69","webflow.com","","",""
"0.69","webme.com","","",""
"0.69","websale.net","","",""
"0.69","welt.de","","",""
"0.69","wetter.com","","",""
"0.69","wettercomassets.com","","",""
"0.69","wh2120.de","","",""
"0.69","wix.com","","",""
"0.69","wixstatic.com","","",""
"0.69","xing-share.com","","",""
"0.69","xplosion.de","xplosion Interactive","DE","xplosion Interactive > emetriq > Deutsche Telekom"
"0.69","yadro.ru","Yadro","RU","Yadro"
"0.69","yandex.net","Yandex","RU","Yandex"
"0.69","yieldlab.net","Yieldlab","DE","Yieldlab"
"0.69","youtu.be","YouTube","US","YouTube > Google > Alphabet"
"0.69","zavtra.ru","","",""
"0.69","zprk.io","","",""
