"percent_total","domain","owner","owner_country","owner_lineage"
"1.68","russiatoday.com","","",""
"1.68","socdm.com","","",""
"1.68","springserve.com","SpringServe","US","SpringServe"
"1.68","ssl-images-amazon.com","Amazon","US","Amazon"
"1.68","telegram.org","","",""
"1.68","tidaltv.com","Videology Group","US","Videology Group > Amobee > Singtel"
"1.68","tynt.com","33Across","US","33Across"
"1.68","typekit.net","Adobe Fonts","US","Adobe Fonts > Adobe Systems"
"1.68","userreport.com","","",""
"1.68","walmart.com","Walmart","US","Walmart"
"1.26","4dex.io","","",""
"1.26","a-mx.com","","",""
"1.26","addthisedge.com","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"1.26","adleadevent.com","","",""
"1.26","adotmob.com","","",""
"1.26","adroll.com","AdRoll","US","AdRoll"
"1.26","amazonaws.com","Amazon Web Services","US","Amazon Web Services > Amazon"
"1.26","aniview.com","","",""
"1.26","assoc-amazon.com","","",""
"1.26","b-cdn.net","","",""
"1.26","confiant-integrations.net","","",""
"1.26","consensu.org","IAB Europe","BE","IAB Europe"
"1.26","cpx.to","Avocet","UK","Avocet"
"1.26","da-services.ch","","",""
"1.26","disqus.com","Disqus","US","Disqus > Zeta Global"
"1.26","doubleverify.com","Double Verify","US","Double Verify"
"1.26","e-volution.ai","","",""
"1.26","ezodn.com","","",""
"1.26","ezoic.com","","",""
"1.26","gegenstimme.tv","","",""
"1.26","heyoya.com","","",""
"1.26","hotjar.com","Hotjar","MT","Hotjar"
"1.26","ibillboard.com","","",""
"1.26","imgix.net","Imgix","US","Imgix"
"1.26","jwplayer.com","Longtail Ad Solutions","US","Longtail Ad Solutions"
"1.26","leadplace.fr","","",""
"1.26","m6r.eu","Ströer","DE","Ströer"
"1.26","mlcdn.com","","",""
"1.26","odycdn.com","","",""
"1.26","opecloud.com","","",""
"1.26","outbrainimg.com","","",""
"1.26","pinimg.com","Pinterest","US","Pinterest"
"1.26","pixfuture.com","","",""
"1.26","printfriendly.com","","",""
"1.26","privacy-mgmt.com","","",""
"1.26","sascdn.com","Smart AdServer","FR","Smart AdServer"
"1.26","sddan.com","","",""
"1.26","smadex.com","","",""
"1.26","sonobi.com","Sonobi","US","Sonobi"
"1.26","steadycdn.com","","",""
"1.26","taptapnetworks.com","","",""
"1.26","tda.link","","",""
"1.26","themoneytizer.com","","",""
"1.26","tiqcdn.com","Tealium","US","Tealium"
"1.26","tmyzer.com","","",""
"1.26","uuidksinc.net","","",""
"1.26","vitaminum.net","","",""
"1.26","webpushr.com","","",""
"1.26","widespace.com","","",""
"1.26","wikimedia.org","Wikimedia Foundation","US","Wikimedia Foundation"
"1.26","wpmucdn.com","","",""
"1.26","wpmudev.com","","",""
"0.84","2kita.com","","",""
"0.84","33across.com","33Across","US","33Across"
"0.84","ad4m.at","","",""
"0.84","adhigh.net","GetIntent","US","GetIntent"
"0.84","admeira.ch","","",""
"0.84","adnz.co","","",""
"0.84","adpartner.pro","","",""
"0.84","ads-twitter.com","Twitter","US","Twitter"
"0.84","adtarget.com.tr","","",""
"0.84","adtelligent.com","","",""
"0.84","advertising.com","ONE by Aol","US","ONE by Aol > Aol > Verizon Media > Verizon"
"0.84","aidata.io","","",""
"0.84","atemda.com","","",""
"0.84","awin1.com","AWIN","DE","AWIN > Axel Springer"
"0.84","azure.com","","",""
"0.84","bluevoox.com","","",""
"0.84","boltdns.net","","",""
"0.84","brandmetrics.com","","",""
"0.84","bumlam.com","","",""
"0.84","cdntrf.com","","",""
"0.84","chocolateplatform.com","","",""
"0.84","colossusssp.com","","",""
"0.84","connects.ch","","",""
"0.84","cookieless-data.com","","",""
"0.84","ctnsnet.com","Crimtan","UK","Crimtan"
"0.84","cwi.re","","",""
"0.84","cxense.com","Cxense","NO","Cxense"
"0.84","deltawelt.ch","","",""
"0.84","digitaleast.mobi","","",""
"0.84","eyeota.net","Eyeota","SG","Eyeota"
"0.84","follow.it","","",""
"0.84","fonts.net","Fonts.com","US","Fonts.com > Monotype Imaging"
"0.84","foremedia.net","","",""
"0.84","fraudscore.ai","","",""
"0.84","gfx.ms","Microsoft","US","Microsoft"
"0.84","github.io","","",""
"0.84","histats.com","HiStats","IT","HiStats > Wisecode"
"0.84","hotjar.io","Hotjar","MT","Hotjar"
"0.84","idealmedia.io","","",""
"0.84","ioam.de","INFOnline","DE","INFOnline"
"0.84","jungefreiheit.de","","",""
"0.84","kenfm.de","","",""
"0.84","lbry.com","","",""
"0.84","live.com","Microsoft","US","Microsoft"
"0.84","lp4.io","Linkpulse","NO","Linkpulse > plista > GroupM > WPP"
"0.84","luxadv.com","","",""
"0.84","mailchimp.com","Mailchimp","US","Mailchimp"
"0.84","metadsp.co.uk","","",""
"0.84","mgid.com","","",""
"0.84","microsoft.com","Microsoft","US","Microsoft"
"0.84","net-news-express.de","","",""
"0.84","ocdn.eu","","",""
"0.84","octavius.rocks","","",""
"0.84","odysee.com","","",""
"0.84","odysee.tv","","",""
"0.84","onet.pl","","",""
"0.84","opencmp.net","","",""
"0.84","openxcdn.net","","",""
"0.84","otm-r.com","","",""
"0.84","owneriq.net","OwnerIQ","US","OwnerIQ"
"0.84","parastorage.com","","",""
"0.84","peertube.fr","","",""
"0.84","plyr.io","","",""
"0.84","polyfill.io","","",""
"0.84","qualtrics.com","","",""
"0.84","redintelligence.net","","",""
"0.84","revolvermaps.com","","",""
"0.84","rmbl.ws","","",""
"0.84","rqtrk.eu","","",""
"0.84","rumble.com","","",""
"0.84","s-microsoft.com","Microsoft","US","Microsoft"
"0.84","scsstatic.ch","","",""
"0.84","sedoparking.com","Sedo","DE","Sedo > AdLink Group > Adux"
"0.84","sentry.io","","",""
"0.84","servenobid.com","","",""
"0.84","splicky.com","","",""
"0.84","spotim.market","","",""
"0.84","srgssr.ch","","",""
"0.84","statcounter.com","Statcounter","IE","Statcounter"
"0.84","steadyhq.com","","",""
"0.84","stripe.com","","",""
"0.84","stripe.network","","",""
"0.84","t.co","Twitter","US","Twitter"
"0.84","t.me","","",""
"0.84","tamedia.link","","",""
"0.84","technoratimedia.com","","",""
"0.84","tg.dev","","",""
"0.84","tns-counter.ru","EDFACT","RU","EDFACT > MediaScope"
"0.84","uniconsent.com","","",""
"0.84","unrulymedia.com","Unruly","UK","Unruly > Tremor Video > Taptica > Marimedia"
"0.84","vk.com","Vkontakte","RU","Vkontakte > Mail.Ru Group > MegaFon"
"0.84","wix.com","","",""
"0.84","wixstatic.com","","",""
"0.84","wt-eu02.net","Webtrekk","DE","Webtrekk"
"0.84","yadro.ru","Yadro","RU","Yadro"
"0.84","yieldlab.net","Yieldlab","DE","Yieldlab"
"0.84","yieldlift.com","","",""
"0.84","youtu.be","YouTube","US","YouTube > Google > Alphabet"
"0.84","zenaps.com","AWIN","DE","AWIN > Axel Springer"
"0.42","123map.de","","",""
"0.42","9cache.com","","",""
"0.42","abendzeitung-muenchen.de","","",""
"0.42","acuityplatform.com","AcuityAds","CA","AcuityAds"
"0.42","ad.gt","","",""
"0.42","ad4mat.net","","",""
"0.42","ada.support","","",""
"0.42","admanmedia.com","","",""
"0.42","adnxs-simple.com","","",""
"0.42","adobedtm.com","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"0.42","adspect.de","","",""
"0.42","adtechus.com","ONE by Aol","US","ONE by Aol > Aol > Verizon Media > Verizon"
"0.42","adtraction.com","","",""
"0.42","advangelists.com","","",""
"0.42","afdkompakt.de","","",""
"0.42","akamaihd.net","Akamai","US","Akamai"
"0.42","aliapp.org","","",""
"0.42","alibaba.com","Alibaba","CN","Alibaba"
"0.42","alicdn.com","Alibaba Cloud","CN","Alibaba Cloud > Alibaba"
"0.42","aliexpress.ru","","",""
"0.42","aliexpress.us","","",""
"0.42","all-inkl.com","","",""
"0.42","amazon.com","Amazon","US","Amazon"
"0.42","amazon.de","","",""
"0.42","anderweltonline.com","","",""
"0.42","anonymousnews.ru","","",""
"0.42","app-us1.com","","",""
"0.42","appcues.com","","",""
"0.42","appcues.net","","",""
"0.42","appier.net","Appier","TW","Appier"
"0.42","associates-amazon.com","","",""
"0.42","aswpsdkus.com","","",""
"0.42","atdmt.com","Facebook","US","Facebook"
"0.42","atwola.com","Aol","US","Aol > Verizon Media > Verizon"
"0.42","aura-dsp.com","","",""
"0.42","avads.net","","",""
"0.42","bannernow.com","","",""
"0.42","belta.by","","",""
"0.42","beratungsflat.de","","",""
"0.42","berliner-express.com","","",""
"0.42","besucherzaehler-kostenlos.de","","",""
"0.42","bic-media.com","","",""
"0.42","bild.de","","",""
"0.42","bitchute.com","","",""
"0.42","blogblog.com","Blogger","US","Blogger > Google > Alphabet"
"0.42","blogcounter.de","","",""
"0.42","bloggeramt.de","","",""
"0.42","bloggerei.de","","",""
"0.42","blogheim.at","","",""
"0.42","bod.com","","",""
"0.42","bod.de","","",""
"0.42","boerse-go.de","","",""
"0.42","bookcdn.com","","",""
"0.42","booked.net","","",""
"0.42","brainlyads.com","","",""
"0.42","brand-display.com","","",""
"0.42","brightcove.com","Brightcove","US","Brightcove"
"0.42","bstatic.com","","",""
"0.42","bytedapm.com","","",""
"0.42","byteoversea.com","","",""
"0.42","bz-berlin.de","","",""
"0.42","cdn-apple.com","","",""
"0.42","cdndex.io","","",""
"0.42","cdninstagram.com","Instagram","US","Instagram > Facebook"
"0.42","ch.ch","","",""
"0.42","cheqzone.com","","",""
"0.42","clarity.ms","","",""
"0.42","cloudimg.io","","",""
"0.42","codevelop.network","","",""
"0.42","confirmit.com","","",""
"0.42","conrad.ch","","",""
"0.42","cookiebot.eu","","",""
"0.42","corona-transition.org","","",""
"0.42","crazyegg.com","Crazy Egg","US","Crazy Egg"
"0.42","createjs.com","CreateJS","CA","CreateJS"
"0.42","cryptobrowser.site","","",""
"0.42","cryptobrowser.store","","",""
"0.42","ctfassets.net","","",""
"0.42","dan-news.info","","",""
"0.42","datadome.co","","",""
"0.42","daydeal.ch","","",""
"0.42","decibelinsight.net","","",""
"0.42","deepseatools.de","","",""
"0.42","dmxleo.com","","",""
"0.42","domainnames.net","","",""
"0.42","donorbox.org","","",""
"0.42","dreamlab.pl","","",""
"0.42","dropboxusercontent.com","","",""
"0.42","ecomm.events","","",""
"0.42","ecwid.com","","",""
"0.42","elektroautotanken.de","","",""
"0.42","emailsys1a.net","","",""
"0.42","ethinking.de","","",""
"0.42","etracker.com","etracker","DE","etracker"
"0.42","etracker.de","etracker","DE","etracker"
"0.42","fastly-insights.com","","",""
"0.42","ffd365.de","","",""
"0.42","fksnk.com","","",""
"0.42","flagcounter.com","","",""
"0.42","fooby.ch","","",""
"0.42","freitum.de","","",""
"0.42","fun4free.net","","",""
"0.42","gab.com","","",""
"0.42","geoplugin.net","","",""
"0.42","getmdl.io","","",""
"0.42","getreplybox.com","","",""
"0.42","githubassets.com","","",""
"0.42","githubusercontent.com","","",""
"0.42","goldsilbershop.de","","",""
"0.42","gonser.ch","","",""
"0.42","googlecode.com","","",""
"0.42","gosol.org","","",""
"0.42","greatviews.de","","",""
"0.42","grimmhold.de","","",""
"0.42","guidants.com","","",""
"0.42","gvs-bullion.com","","",""
"0.42","h-cdn.com","","",""
"0.42","hadronid.net","","",""
"0.42","happy-school.de","","",""
"0.42","headroom.at","","",""
"0.42","ibytedtos.com","","",""
"0.42","imdb.com","","",""
"0.42","imgur.com","","",""
"0.42","in-berlin.de","","",""
"0.42","instana.io","","",""
"0.42","ipify.org","","",""
"0.42","iraqbodycount.org","","",""
"0.42","irmler.at","","",""
"0.42","ispot.tv","","",""
"0.42","issuu.com","","",""
"0.42","isu.pub","","",""
"0.42","ix.de","","",""
"0.42","js7k.com","","",""
"0.42","jtvnw.net","","",""
"0.42","justpremium.com","","",""
"0.42","jwpcdn.com","Longtail Ad Solutions","US","Longtail Ad Solutions"
"0.42","jwpsrv.com","Longtail Ad Solutions","US","Longtail Ad Solutions"
"0.42","kachelmannwetter.com","","",""
"0.42","kameleoon.eu","","",""
"0.42","kla.tv","","",""
"0.42","klagemauer.tv","","",""
"0.42","kxcdn.com","","",""
"0.42","laptops-fair.de","","",""
"0.42","licdn.com","LinkedIn","US","LinkedIn > Microsoft"
"0.42","list-manage.com","Mailchimp","US","Mailchimp"
"0.42","liste24.at","","",""
"0.42","livejournal.com","","",""
"0.42","llnwd.net","Limelight Networks","US","Limelight Networks"
"0.42","lug-info.com","","",""
"0.42","mateti.net","Webtrekk","DE","Webtrekk"
"0.42","matomo.cloud","","",""
"0.42","mediavine.com","","",""
"0.42","michael-vogt.tv","","",""
"0.42","microsoftonline.com","Microsoft","US","Microsoft"
"0.42","minds.com","","",""
"0.42","mischwald.ch","","",""
"0.42","mmnews.de","","",""
"0.42","mmstat.com","Alimama","CN","Alimama > Alibaba"
"0.42","mrpdata.net","","",""
"0.42","msauth.net","","",""
"0.42","msecnd.net","","",""
"0.42","msn.com","Microsoft","US","Microsoft"
"0.42","multipolar-magazin.de","","",""
"0.42","myvisualiq.net","Nielsen Online","US","Nielsen Online"
"0.42","nachdenkseiten.de","","",""
"0.42","nativendo.de","","",""
"0.42","ndr.de","","",""
"0.42","newrelic.com","New Relic","US","New Relic"
"0.42","nflxext.com","Netflix","US","Netflix"
"0.42","nflxso.net","Netflix","US","Netflix"
"0.42","ninthdecimal.com","Ninth Decimal","US","Ninth Decimal > InMarket"
"0.42","noch.info","","",""
"0.42","nocookie.net","Fandom","US","Fandom"
"0.42","novorosinform.org","","",""
"0.42","npttech.com","","",""
