"percentage_crawls_tracked","owner","owner_country","owner_lineage"
"1.68","Blogger","US","Blogger > Google > Alphabet"
"1.68","Check Point","US","Check Point"
"1.68","Dynadmic","FR","Dynadmic"
"1.68","exelate","US","exelate > Nielsen Online"
"1.68","Fastly","US","Fastly"
"1.68","Integral Ad Science","US","Integral Ad Science"
"1.68","Moat","US","Moat > Oracle Data Cloud > Oracle"
"1.68","Salesforce","US","Salesforce"
"1.68","Salesforce DMP","US","Salesforce DMP > Salesforce"
"1.68","SpringServe","US","SpringServe"
"1.68","Videology Group","US","Videology Group > Amobee > Singtel"
"1.68","Walmart","US","Walmart"
"1.26","AdRoll","US","AdRoll"
"1.26","Amazon Web Services","US","Amazon Web Services > Amazon"
"1.26","Avocet","UK","Avocet"
"1.26","Disqus","US","Disqus > Zeta Global"
"1.26","Double Verify","US","Double Verify"
"1.26","Hotjar","MT","Hotjar"
"1.26","IAB Europe","BE","IAB Europe"
"1.26","Imgix","US","Imgix"
"1.26","Longtail Ad Solutions","US","Longtail Ad Solutions"
"1.26","plista","DE","plista > GroupM > WPP"
"1.26","Sonobi","US","Sonobi"
"1.26","Ströer","DE","Ströer"
"1.26","Tealium","US","Tealium"
"1.26","Webtrekk","DE","Webtrekk"
"1.26","Wikimedia Foundation","US","Wikimedia Foundation"
"1.26","Zeta Global","US","Zeta Global"
"0.84","AdLink Group","DE","AdLink Group > Adux"
"0.84","Adux","FR","Adux"
"0.84","Aol","US","Aol > Verizon Media > Verizon"
"0.84","AWIN","DE","AWIN > Axel Springer"
"0.84","Axel Springer","DE","Axel Springer"
"0.84","Crimtan","UK","Crimtan"
"0.84","Cxense","NO","Cxense"
"0.84","EDFACT","RU","EDFACT > MediaScope"
"0.84","Eyeota","SG","Eyeota"
"0.84","Fonts.com","US","Fonts.com > Monotype Imaging"
"0.84","GetIntent","US","GetIntent"
"0.84","HiStats","IT","HiStats > Wisecode"
"0.84","INFOnline","DE","INFOnline"
"0.84","Linkpulse","NO","Linkpulse > plista > GroupM > WPP"
"0.84","Mail.Ru Group","RU","Mail.Ru Group > MegaFon"
"0.84","Mailchimp","US","Mailchimp"
"0.84","MediaScope","RU","MediaScope"
"0.84","MegaFon","RU","MegaFon"
"0.84","Monotype Imaging","US","Monotype Imaging"
"0.84","ONE by Aol","US","ONE by Aol > Aol > Verizon Media > Verizon"
"0.84","OwnerIQ","US","OwnerIQ"
"0.84","Sedo","DE","Sedo > AdLink Group > Adux"
"0.84","Statcounter","IE","Statcounter"
"0.84","Unruly","UK","Unruly > Tremor Video > Taptica > Marimedia"
"0.84","Vkontakte","RU","Vkontakte > Mail.Ru Group > MegaFon"
"0.84","Wisecode","IT","Wisecode"
"0.84","Yadro","RU","Yadro"
"0.84","Yieldlab","DE","Yieldlab"
"0.42","AcuityAds","CA","AcuityAds"
"0.42","Alibaba","CN","Alibaba"
"0.42","Alibaba Cloud","CN","Alibaba Cloud > Alibaba"
"0.42","Alimama","CN","Alimama > Alibaba"
"0.42","Appier","TW","Appier"
"0.42","Brightcove","US","Brightcove"
"0.42","Crazy Egg","US","Crazy Egg"
"0.42","CreateJS","CA","CreateJS"
"0.42","Deutsche Telekom","DE","Deutsche Telekom"
"0.42","emetriq","DE","emetriq > Deutsche Telekom"
"0.42","etracker","DE","etracker"
"0.42","Fandom","US","Fandom"
"0.42","IAC","US","IAC"
"0.42","InMarket","US","InMarket"
"0.42","Instagram","US","Instagram > Facebook"
"0.42","Limelight Networks","US","Limelight Networks"
"0.42","Netflix","US","Netflix"
"0.42","New Relic","US","New Relic"
"0.42","Ninth Decimal","US","Ninth Decimal > InMarket"
"0.42","Optimizely","US","Optimizely"
"0.42","Taobao","CN","Taobao > Alibaba"
"0.42","Trusted Shops","DE","Trusted Shops"
"0.42","Vimeo","US","Vimeo > IAC"
"0.42","Visual Website Optimizer","IN","Visual Website Optimizer > Wingify"
"0.42","Wingify","IN","Wingify"
"0.42","xplosion Interactive","DE","xplosion Interactive > emetriq > Deutsche Telekom"
