"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"3.36","https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202209190101/show_ads_impl_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"3.36","https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202209200101/show_ads_impl_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"3.36","https://s.pubmine.com/conf","script","pubmine.com","","",""
"3.36","https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"3.36","https://s0.wp.com/wp-includes/js/wp-emoji-release.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"3.36","https://stats.wp.com/w.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"2.94","https://gum.criteo.com/sync","script","criteo.com","Criteo","FR","Criteo"
"2.94","https://pagead2.googlesyndication.com/bg/bD2V1yF27SqeqYvgyYYSPdiNu290SHC9vzB8BmtCvBI.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"2.94","https://sb.scorecardresearch.com/beacon.js","script","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore"
"2.94","https://www.google-analytics.com/plugins/ua/ec.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"2.94","https://www.googleadservices.com/pagead/conversion_async.js","script","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"2.94","https://www.youtube.com/s/player/abfb84fe/www-widgetapi.vflset/www-widgetapi.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"2.52","https://0.gravatar.com/js/gprofiles.js","script","gravatar.com","Gravatar","US","Gravatar > Automattic"
"2.52","https://c0.wp.com/p/jetpack/11.3.2/_inc/build/photon/photon.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"2.52","https://s0.wp.com/wp-content/js/rlt-proxy.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"2.52","https://s0.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"2.52","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2022092101.js","script","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"2.52","https://static.xx.fbcdn.net/rsrc.php/v3/yY/r/UBogB48WqMV.js","script","fbcdn.net","Facebook","US","Facebook"
"2.52","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/client/m_js_controller_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"2.52","https://tpc.googlesyndication.com/sodar/UFYwWwmt.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"2.52","https://www.gstatic.com/mysidia/13f3f09bfb49b566c7b639b7608c1c0e.js","script","gstatic.com","Google","US","Google > Alphabet"
"2.1","https://a.teads.tv/analytics/tag.js","script","teads.tv","Teads","US","Teads > Altice SA"
"2.1","https://c0.wp.com/c/6.0.2/wp-includes/js/imagesloaded.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"2.1","https://connect.facebook.net/en_US/sdk.js","script","facebook.net","Facebook","US","Facebook"
"2.1","https://googleads.g.doubleclick.net/dbm/ad","script","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"2.1","https://platform.twitter.com/js/button.c6c95b9789db97ea1e9742d215fff751.js","script","twitter.com","Twitter","US","Twitter"
"2.1","https://ssl.google-analytics.com/ga.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"2.1","https://static.chartbeat.com/js/chartbeat.js","script","chartbeat.com","Chartbeat","US","Chartbeat"
"2.1","https://static.cloudflareinsights.com/beacon.min.js/v652eace1692a40cfa3763df669d7439c1639079717194","script","cloudflareinsights.com","","",""
"2.1","https://static.criteo.net/js/ld/publishertag.prebid.123.js","script","criteo.net","Criteo","FR","Criteo"
"2.1","https://static.smilewanted.com/js/decode_consent/decode_consent.js","script","smilewanted.com","","",""
"2.1","https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/DJIek1tT3RT.js","script","fbcdn.net","Facebook","US","Facebook"
"2.1","https://widgets.ad.style/native.js","script","ad.style","","",""
"2.1","https://www.googletagservices.com/tag/js/gpt.js","script","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"2.1","https://www.gstatic.com/mysidia/270cb447f650f22be90b4349b85576c2.js","script","gstatic.com","Google","US","Google > Alphabet"
"1.68","https://c0.pubmine.com/2.36.71660581586862/3.js","script","pubmine.com","","",""
"1.68","https://c0.pubmine.com/2.36.71660581586862/ata.js","script","pubmine.com","","",""
"1.68","https://c0.wp.com/c/6.0.2/wp-includes/js/dist/hooks.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"1.68","https://c0.wp.com/c/6.0.2/wp-includes/js/dist/i18n.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"1.68","https://c0.wp.com/c/6.0.2/wp-includes/js/dist/vendor/regenerator-runtime.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"1.68","https://c0.wp.com/c/6.0.2/wp-includes/js/dist/vendor/wp-polyfill.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"1.68","https://c0.wp.com/c/6.0.2/wp-includes/js/jquery/ui/core.min.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"1.68","https://code.jquery.com/jquery-3.6.0.min.js","script","jquery.com","JS Foundation","US","JS Foundation"
"1.68","https://confiant-integrations.global.ssl.fastly.net/gptprebidnative/202209061116/wrap.js","script","fastly.net","Fastly","US","Fastly"
"1.68","https://connect.facebook.net/signals/config/338424401544922","script","facebook.net","Facebook","US","Facebook"
"1.68","https://ih.adscale.de/userconnect","script","adscale.de","AdScale","DE","AdScale > Check Point"
"1.68","https://js.adscale.de/userconnect.js","script","adscale.de","AdScale","DE","AdScale > Check Point"
"1.68","https://pagead2.googlesyndication.com/pagead/show_ads.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"1.68","https://platform.twitter.com/_next/static/chunks/0.8f205dbb7b06b224e307.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/1.d77d8092171c9a9ccc4c.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/2.691622e4391d1973cb65.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/4.096fc3966cc81b0f4642.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/main-e9db78f5e7b3d83edd5e.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/modules.c7def0268c66f6a548ed.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/ondemand.Dropdown.5730e0a49ea6a6dde3b4.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/pages/_app-6b59be76f6e3292c4dd6.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/pages/timeline-profile/screen-name/%5BscreenName%5D-568c81a96d7917ec4ebb.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/chunks/runtime-c5040a30986fc1d092cc.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/fJUFW1qGayM-Fl0txyHpE/_buildManifest.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/_next/static/fJUFW1qGayM-Fl0txyHpE/_ssgManifest.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://platform.twitter.com/js/horizon_timeline.4836f7a62ef55f5880337b3b6602854f.js","script","twitter.com","Twitter","US","Twitter"
"1.68","https://robby.prodara.de/d3d3/ZGVsaXZlcnk=/YXN5bmNqcw==.php","script","prodara.de","","",""
"1.68","https://s0.2mdn.net/879366/express_html_inpage_rendering_lib_200_276.js","script","2mdn.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"1.68","https://secure.adnxs.com/bounce","script","adnxs.com","Xandr","US","Xandr > AT&T"
"1.68","https://static.addtoany.com/menu/modules/core.e18d3993.js","script","addtoany.com","","",""
"1.68","https://static.addtoany.com/menu/page.js","script","addtoany.com","","",""
"1.68","https://static.cleverpush.com/channel/loader/QTWrbN5zWDT3m4obs.js","script","cleverpush.com","","",""
"1.68","https://static.cleverpush.com/sdk/chunk/115.20d9413dca6dc0afec0e.js","script","cleverpush.com","","",""
"1.68","https://static.cleverpush.com/sdk/chunk/251.90ad76a663f3b3850ba0.js","script","cleverpush.com","","",""
"1.68","https://static.cleverpush.com/sdk/chunk/5.9413bbd6831dde203d05.js","script","cleverpush.com","","",""
"1.68","https://static.cleverpush.com/sdk/chunk/720.ec40f591108ece8b9ab2.js","script","cleverpush.com","","",""
"1.68","https://static.cleverpush.com/sdk/chunk/818.eb9c2f673c0740fe15b1.js","script","cleverpush.com","","",""
"1.68","https://static.cleverpush.com/sdk/chunk/970.c926cda5e787910cfe3b.js","script","cleverpush.com","","",""
"1.68","https://static.mailerlite.com/js/w/ml_jQuery.inputmask.bundle.min.js","script","mailerlite.com","","",""
"1.68","https://static.mailerlite.com/js/w/webforms.min.js","script","mailerlite.com","","",""
"1.68","https://static.xx.fbcdn.net/rsrc.php/v3/y3/r/BjeESKDbisI.js","script","fbcdn.net","Facebook","US","Facebook"
"1.68","https://static.xx.fbcdn.net/rsrc.php/v3/y3/r/cPcKznvPj72.js","script","fbcdn.net","Facebook","US","Facebook"
"1.68","https://static.xx.fbcdn.net/rsrc.php/v3/yE/r/Ziq3FOqCAZf.js","script","fbcdn.net","Facebook","US","Facebook"
"1.68","https://telegram.org/js/widget-frame.js","script","telegram.org","","",""
"1.68","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/elements/html/interstitial_ad_frame_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"1.68","https://www.google.com/adsense/domains/caf.js","script","google.com","Google","US","Google > Alphabet"
"1.68","https://www.google.com/js/th/UNMeoPQ8rtRt9hrMkVLrjVSzaMRKLPVY2pV-dxR9xRk.js","script","google.com","Google","US","Google > Alphabet"
"1.68","https://www.youtube.com/iframe_api","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"1.26","http://www.google-analytics.com/analytics.js","script","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"1.26","http://www.google.com/adsense/domains/caf.js","script","google.com","Google","US","Google > Alphabet"
"1.26","https://aa.agkn.com/adscores/r.js","script","agkn.com","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital"
"1.26","https://accounts.google.com/gsi/client","script","google.com","Google","US","Google > Alphabet"
"1.26","https://ads.themoneytizer.com/moneybile.js","script","themoneytizer.com","","",""
"1.26","https://ads.themoneytizer.com/s/gen.js","script","themoneytizer.com","","",""
"1.26","https://ads.themoneytizer.com/s/requestform.js","script","themoneytizer.com","","",""
"1.26","https://ajax.googleapis.com/ajax/libs/jquery/3.0.0/jquery.min.js","script","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"1.26","https://apis.google.com/_/scs/abc-static/_/js/k=gapi.gapi.en.IK5OmUURd2E.O/m=gapi_iframes,googleapis_client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo932JinkSJHK92WgVjIV-Jwwyu3Rw/cb=gapi.loaded_0","script","google.com","Google","US","Google > Alphabet"
"1.26","https://apis.google.com/js/platform.js","script","google.com","Google","US","Google > Alphabet"
"1.26","https://bat.bing.com/bat.js","script","bing.com","Bing","US","Bing > Microsoft"
"1.26","https://cdn-a.yieldlove.com/v2/yieldlove.js","script","yieldlove.com","","",""
"1.26","https://cdn.adsafeprotected.com/iasPET.1.js","script","adsafeprotected.com","Integral Ad Science","US","Integral Ad Science"
"1.26","https://cdn.ampproject.org/rtv/012209072154000/amp4ads-v0.mjs","script","ampproject.org","Amp Project","US","Amp Project > Google > Alphabet"
"1.26","https://cdn.ampproject.org/rtv/012209072154000/v0/amp-ad-exit-0.1.mjs","script","ampproject.org","Amp Project","US","Amp Project > Google > Alphabet"
"1.26","https://cdn.ampproject.org/rtv/012209072154000/v0/amp-analytics-0.1.mjs","script","ampproject.org","Amp Project","US","Amp Project > Google > Alphabet"
"1.26","https://cdn.ampproject.org/rtv/012209072154000/v0/amp-fit-text-0.1.mjs","script","ampproject.org","Amp Project","US","Amp Project > Google > Alphabet"
"1.26","https://cdn.ampproject.org/rtv/012209072154000/v0/amp-form-0.1.mjs","script","ampproject.org","Amp Project","US","Amp Project > Google > Alphabet"
"1.26","https://cdn.doubleverify.com/dv-measurements3094.js","script","doubleverify.com","Double Verify","US","Double Verify"
"1.26","https://cdn.doubleverify.com/dvtp_src.js","script","doubleverify.com","Double Verify","US","Double Verify"
"1.26","https://cdn.id5-sync.com/api/1.0/id5-api.js","script","id5-sync.com","ID5 Technology","UK","ID5 Technology"
"1.26","https://cdn.pixfuture.com/hb_v2.js","script","pixfuture.com","","",""
"1.26","https://cdn.pixfuture.com/pbix.js","script","pixfuture.com","","",""
"1.26","https://cdn.taboola.com/scripts/cds-pips.js","script","taboola.com","Taboola","US","Taboola"
"1.26","https://cdn.webpushr.com/app.min.js","script","webpushr.com","","",""
"1.26","https://ced.sascdn.com/tag/1097/smart.js","script","sascdn.com","Smart AdServer","FR","Smart AdServer"
"1.26","https://commerce-static.heyoya.com/b2b/b2b_settings.hey","script","heyoya.com","","",""
"1.26","https://confiant-integrations.global.ssl.fastly.net/V1AdEkGj8ikBdWctk6hWbb2FEvQ/gpt_and_prebid/config.js","script","fastly.net","Fastly","US","Fastly"
"1.26","https://connect.facebook.net/signals/config/301967308294912","script","facebook.net","Facebook","US","Facebook"
